Variable;Cantidad
AARCH_ANT;2
ADUATR_ANT;39
AI_ANT;175
AIADOL2;35
AIADOL_ANT;52
AIADOLPAZ_ANT;48
AIADUA_ANT;41
AIAINCONST_ANT;1
AICASA_total_ANT;1
AICASACIV_ANT;1
AICASAFAM_ANT;1
AICASALAB_ANT;1
AICASAPEN_ANT;1
AICAUDIPLO_ANT;1
AICIV_ANT;81
AICNA_ANT;74
AICONC_ANT;74
AICONT_ANT;74
AICONTCOMP_ANT;1
AIEINCONST_ANT;1
AIEJECSENTEXT_ANT;1
AIFAL_ANT;45
AIFAM_ANT;81
AIINCOSTOF_ANT;1
AIJDOADOL_ANT;48
AIJDOPEN_ANT;46
AILAB_ANT;77
AIOTROS_ANT;9
AIPAZCGP_ANT;181
AIPEN2;48
AIPEN_ANT;70
AIPENPAZ_ANT;46
AIRECQDC_ANT;1
AIRECQDEI_ANT;1
AIRECREV_ANT;1
AITOT_ANT;69
AIVD_ANT;74
AIVISITAS_ANT;6
AUDCON_ANT;101
AUDR_ANT;294
AUDR_ANT_2;98
CUMTR_ANT;68
DECTR_SCJ_ANT;1
EXCUM_ANT;2
EXPEJECTR_ANT;4
EXPTR_ANT;32
EXPTR_CGPPAZ_ANT;181
EXPTR_FAL_ANT;45
EXPTR_TAP_ANT;17
EXREC_ANT;2
INDINI_ANT;39
INDTR_ANT;50
INFRINI_ANT;52
INFRTR_ANT;50
INIEJEC_ANT;2
NULIDAD_ANT;7
OFILIB_ANT;2
OFILIBSGJM_ANT;2
PRESINI_ANT;57
PRESOCS_ANT;22
PRESOPEN_ANT;2
PRESOSCS2_ANT;4
PRESOSS2_ANT;4
PRESOSS_ANT;22
PRESUMTR_ANT;70
RECAPSD_ANT;17
RECAPSI_ANT;17
RECQUE_ANT;12
RESTEL_ANT;14
SDTAP_ANT;4
SENDEF_ANT;197
SENDEF_SCJ_ANT;1
SENDEFADOL_ANT;4
SENDEFADU_ANT;1
SENDEFCIV_ANT;68
SENDEFCONC_ANT;63
SENDEFCONT_ANT;63
SENDEFFAL_ANT;45
SENDEFFAM_ANT;68
SENDEFLAB_ANT;68
SENDEFPAZ_ANT;181
SENTINT_ANT;1
SITAP_ANT;4
SUMINI_ANT;70
SUMTR_ANT;68
