"reservada","correlacion","cantidad","origen"
juventud,palacios,30,twitter
juventud,danubio,30,twitter
juventud,jorgewlarranaga,28,twitter
juventud,sábado,28,twitter
juventud,comenzó,27,twitter
juventud,defensor,25,twitter
juventud,campus,24,twitter
juventud,goles,23,twitter
juventud,pnacional,22,twitter
juventud,homenaje,22,twitter
juventud,inju,21,twitter
juventud,cerro,21,twitter
juventud,fecha,20,twitter
juventud,tacuarembó,19,twitter
juventud,lista,19,twitter
juventud,st,19,twitter
juventud,racing,18,twitter
juventud,amistoso,18,twitter
juventud,rentistas,18,twitter
juventud,juventud,"3,555",post_facebook
juventud,nacional,749,post_facebook
juventud,piedras,603,post_facebook
juventud,peñarol,588,post_facebook
juventud,clausura,465,post_facebook
juventud,jóvenes,325,post_facebook
juventud,final,266,post_facebook
juventud,parque,266,post_facebook
juventud,club,265,post_facebook
juventud,cerro,258,post_facebook
juventud,inju,249,post_facebook
juventud,apertura,240,post_facebook
juventud,fecha,221,post_facebook
juventud,fénix,214,post_facebook
juventud,danubio,208,post_facebook
juventud,gol,205,post_facebook
juventud,vs,202,post_facebook
juventud,racing,199,post_facebook
juventud,torneo,198,post_facebook
juventud,sábado,192,post_facebook
juventud,gl,192,post_facebook
juventud,goo,189,post_facebook
juventud,wanderers,182,post_facebook
juventud,estadio,177,post_facebook
juventud,defensor,176,post_facebook
juventud,artigas,173,post_facebook
juventud,river,170,post_facebook
juventud,uruguayoap,168,post_facebook
juventud,encuentro,165,post_facebook
juventud,equipo,164,post_facebook
juventud,juventud,"8,643",facebook_comentarios
juventud,vida,496,facebook_comentarios
juventud,dejar,437,facebook_comentarios
juventud,mal,433,facebook_comentarios
juventud,ustedes,422,facebook_comentarios
juventud,nacional,404,facebook_comentarios
juventud,futuro,383,facebook_comentarios
juventud,gobierno,378,facebook_comentarios
juventud,apoyo,376,facebook_comentarios
juventud,nombre,369,facebook_comentarios
juventud,perú,365,facebook_comentarios
juventud,esfuerzo,348,facebook_comentarios
juventud,corazón,344,facebook_comentarios
juventud,alto,344,facebook_comentarios
juventud,gladys,335,facebook_comentarios
juventud,peñarol,331,facebook_comentarios
juventud,chicas,328,facebook_comentarios
juventud,tejeda,324,facebook_comentarios
juventud,canales,314,facebook_comentarios
juventud,salga,307,facebook_comentarios
juventud,ines,304,facebook_comentarios
juventud,coraje,304,facebook_comentarios
juventud,embrutecer,303,facebook_comentarios
juventud,melchor,302,facebook_comentarios
juventud,dedican,301,facebook_comentarios
juventud,entregar,298,facebook_comentarios
juventud,inés,296,facebook_comentarios
juventud,escandalos,294,facebook_comentarios
juventud,figuretismo,294,facebook_comentarios
juventud,ráting,293,facebook_comentarios
juventud,river,18,twitter
juventud,fénix,18,twitter
juventudes,juventudes,22,twitter
juventudes,nacional,6,twitter
juventudes,inju,6,twitter
juventudes,plan,6,twitter
juventudes,youtube,4,twitter
juventudes,mes,4,twitter
juventudes,semana,4,twitter
juventudes,jóvenes,4,twitter
juventudes,lanzamiento,3,twitter
juventudes,agosto,3,twitter
juventudes,conferencia,2,twitter
juventudes,teatrodeverano,2,twitter
juventudes,patedefua,2,twitter
juventudes,vemos,2,twitter
juventudes,juy,2,twitter
juventudes,web,2,twitter
juventudes,bjfdovu,1,twitter
juventudes,bglwgoa,1,twitter
juventudes,amplio,1,twitter
juventudes,be,1,twitter
juventudes,conmadre,1,twitter
juventudes,ausentes,1,twitter
juventudes,alla,1,twitter
juventudes,cuentas,1,twitter
juventudes,desarrollo,1,twitter
juventudes,director,1,twitter
juventudes,dkdl,1,twitter
juventudes,dpjjjcbt,1,twitter
juventudes,juventudes,175,post_facebook
juventudes,nacional,72,post_facebook
juventudes,jóvenes,71,post_facebook
juventudes,juventud,61,post_facebook
juventudes,inju,57,post_facebook
juventudes,plan,53,post_facebook
juventudes,gl,50,post_facebook
juventudes,goo,50,post_facebook
juventudes,acción,48,post_facebook
juventudes,mides,45,post_facebook
juventudes,juy,39,post_facebook
juventudes,conferencia,39,post_facebook
juventudes,políticas,31,post_facebook
juventudes,agosto,29,post_facebook
juventudes,director,27,post_facebook
juventudes,gub,27,post_facebook
juventudes,info,26,post_facebook
juventudes,rodríguez,26,post_facebook
juventudes,matías,24,post_facebook
juventudes,instituto,23,post_facebook
juventudes,v,23,post_facebook
juventudes,innovaportal,21,post_facebook
juventudes,participar,21,post_facebook
juventudes,innova,21,post_facebook
juventudes,talleres,20,post_facebook
juventudes,presentación,20,post_facebook
juventudes,front,20,post_facebook
juventudes,participación,20,post_facebook
juventudes,inscripciones,20,post_facebook
juventudes,departamento,19,post_facebook
juventudes,juventudes,119,facebook_comentarios
juventudes,mal,12,facebook_comentarios
juventudes,familia,11,facebook_comentarios
juventudes,vida,11,facebook_comentarios
juventudes,social,10,facebook_comentarios
juventudes,gobierno,9,facebook_comentarios
juventudes,hitlerianas,8,facebook_comentarios
juventudes,juventud,8,facebook_comentarios
juventudes,calle,7,facebook_comentarios
juventudes,sociales,7,facebook_comentarios
juventudes,pueblo,7,facebook_comentarios
juventudes,ejemplos,7,facebook_comentarios
juventudes,jugadores,7,facebook_comentarios
juventudes,frente,6,facebook_comentarios
juventudes,ve,6,facebook_comentarios
juventudes,ponen,6,facebook_comentarios
juventudes,jóvenes,6,facebook_comentarios
juventudes,mundial,6,facebook_comentarios
juventudes,educación,6,facebook_comentarios
juventudes,marihuana,6,facebook_comentarios
juventudes,asesinos,6,facebook_comentarios
juventudes,comerciantes,6,facebook_comentarios
juventudes,desarrollo,6,facebook_comentarios
juventudes,estén,6,facebook_comentarios
juventudes,fútbol,6,facebook_comentarios
juventudes,juzgan,5,facebook_comentarios
juventudes,juzgados,5,facebook_comentarios
juventudes,fotocopias,5,facebook_comentarios
juventudes,fumaron,5,facebook_comentarios
juventudes,felices,5,facebook_comentarios
juventudes,acto,1,twitter
juventudes,cong,1,twitter
adolescente,adolescente,125,twitter
adolescente,desaparecida,8,twitter
adolescente,inau,7,twitter
adolescente,programa,5,twitter
adolescente,historia,4,twitter
adolescente,prevención,4,twitter
adolescente,m,4,twitter
adolescente,ayuda,4,twitter
adolescente,sistema,4,twitter
adolescente,sexual,4,twitter
adolescente,murió,4,twitter
adolescente,autoridades,4,twitter
adolescente,buscan,4,twitter
adolescente,responsabilidad,4,twitter
adolescente,hija,4,twitter
adolescente,penal,4,twitter
adolescente,subrayado,4,twitter
adolescente,mató,4,twitter
adolescente,mamá,3,twitter
adolescente,madre,3,twitter
adolescente,mandaron,3,twitter
adolescente,amor,3,twitter
adolescente,celeste,3,twitter
adolescente,homicidio,3,twitter
adolescente,infantil,3,twitter
adolescente,chiquitos,3,twitter
adolescente,lola,3,twitter
adolescente,adolescente,684,post_facebook
adolescente,vida,60,post_facebook
adolescente,personas,59,post_facebook
adolescente,madre,51,post_facebook
adolescente,sistema,46,post_facebook
adolescente,policía,45,post_facebook
adolescente,penal,45,post_facebook
adolescente,instituto,45,post_facebook
adolescente,responsabilidad,43,post_facebook
adolescente,adolescentes,42,post_facebook
adolescente,joven,42,post_facebook
adolescente,nacional,42,post_facebook
adolescente,jóvenes,42,post_facebook
adolescente,lola,40,post_facebook
adolescente,familia,39,post_facebook
adolescente,derechos,39,post_facebook
adolescente,espectador,37,post_facebook
adolescente,chomnalez,36,post_facebook
adolescente,inau,35,post_facebook
adolescente,menores,35,post_facebook
adolescente,social,35,post_facebook
adolescente,padre,33,post_facebook
adolescente,semana,32,post_facebook
adolescente,salud,31,post_facebook
adolescente,situación,30,post_facebook
adolescente,tarde,28,post_facebook
adolescente,persona,28,post_facebook
adolescente,meses,28,post_facebook
adolescente,justicia,28,post_facebook
adolescente,acuerdo,28,post_facebook
adolescente,adolescente,"1,978",facebook_comentarios
adolescente,vida,238,facebook_comentarios
adolescente,familia,147,facebook_comentarios
adolescente,madre,147,facebook_comentarios
adolescente,adolescentes,121,facebook_comentarios
adolescente,mal,116,facebook_comentarios
adolescente,personas,109,facebook_comentarios
adolescente,sociedad,108,facebook_comentarios
adolescente,hija,99,facebook_comentarios
adolescente,joven,95,facebook_comentarios
adolescente,menores,94,facebook_comentarios
adolescente,mujer,94,facebook_comentarios
adolescente,educación,93,facebook_comentarios
adolescente,persona,92,facebook_comentarios
adolescente,ley,88,facebook_comentarios
adolescente,niña,85,facebook_comentarios
adolescente,baja,81,facebook_comentarios
adolescente,justicia,78,facebook_comentarios
adolescente,pasa,76,facebook_comentarios
adolescente,respeto,75,facebook_comentarios
adolescente,padre,72,facebook_comentarios
adolescente,problema,72,facebook_comentarios
adolescente,forma,69,facebook_comentarios
adolescente,adulto,68,facebook_comentarios
