pestaña,Cod_sede,Depto,Ciudad,CG,Sede,Juez,comunidad con,Oficina,Categ,Turno,Secc,Comp,Act_Jur,Cantidad
Aduana Mvd,-1,1,-1,-1,-1,1,-1,1,1,1,-1,7,TRADUA,436
Aduana Mvd,-1,1,-1,-1,-1,1,-1,1,1,1,-1,7,AIADUA,131
Aduana Mvd,-1,1,-1,-1,-1,1,-1,1,1,1,-1,7,SENDEF,46
Aduana Mvd,-1,1,-1,-1,-1,1,-1,1,1,1,-1,7,OFILIB,497
Aduana Mvd,-1,1,-1,-1,-1,1,-1,1,1,1,-1,7,EXREC,56
Aduana Mvd,-1,1,-1,-1,-1,1,-1,1,1,1,-1,7,DILALGUA,425
Aduana Mvd,-1,1,-1,-1,-1,1,-1,1,1,1,-1,7,CEDULON,767
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,1,-1,6,INDTR,34
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,1,-1,6,INFRTR,18
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,1,-1,6,EJESENTR,118
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,1,-1,6,RESTEL,900
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,1,-1,6,AIADOL,202
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,1,-1,6,INFRINI,132
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,1,-1,6,SENDEF,113
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,1,-1,6,AARCH,183
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,1,-1,6,EXREC,35
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,1,-1,6,OFILIB,1432
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,2,-1,6,INDTR,14
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,2,-1,6,INFRTR,20
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,2,-1,6,EJESENTR,223
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,2,-1,6,RESTEL,950
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,2,-1,6,AIADOL,305
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,2,-1,6,INFRINI,206
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,2,-1,6,SENDEF,115
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,2,-1,6,AARCH,148
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,2,-1,6,EXREC,31
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,2,-1,6,OFILIB,2070
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,3,-1,6,INDTR,3
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,3,-1,6,INFRTR,2
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,3,-1,6,EJESENTR,202
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,3,-1,6,RESTEL,0
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,3,-1,6,AIADOL,222
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,3,-1,6,INFRINI,159
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,3,-1,6,SENDEF,136
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,3,-1,6,AARCH,155
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,3,-1,6,EXREC,22
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,3,-1,6,OFILIB,1260
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,4,-1,6,INDTR,2
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,4,-1,6,INFRTR,20
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,4,-1,6,EJESENTR,176
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,4,-1,6,RESTEL,1008
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,4,-1,6,AIADOL,313
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,4,-1,6,INFRINI,178
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,4,-1,6,SENDEF,114
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,4,-1,6,AARCH,149
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,4,-1,6,EXREC,44
Adolescentes Mvd,-1,1,-1,-1,-1,1,-1,1,1,4,-1,6,OFILIB,1061
Famesp Mvd,-1,1,-1,-1,-1,1,-1,1,1,1,-1,11,AIVD,792
Famesp Mvd,-1,1,-1,-1,-1,1,-1,1,1,1,-1,11,AUDPREL,637
Famesp Mvd,-1,1,-1,-1,-1,1,-1,1,1,1,-1,11,AUDEVA,304
Famesp Mvd,-1,1,-1,-1,-1,1,-1,1,1,1,-1,11,AICNA,339
Famesp Mvd,-1,1,-1,-1,-1,1,-1,1,1,1,-1,11,VISITAS,22
Famesp Mvd,-1,1,-1,-1,-1,1,-1,1,1,1,-1,11,Otros_tipojuicio,177
Famesp Mvd,-1,1,-1,-1,-1,1,-1,1,1,1,-1,11,RESTEL,1018
Famesp Mvd,-1,1,-1,-1,-1,1,-1,1,1,1,-1,11,TRVD,724
Famesp Mvd,-1,1,-1,-1,-1,1,-1,1,1,1,-1,11,AUDUNI,293
Famesp Mvd,-1,1,-1,-1,-1,1,-1,1,1,2,-1,11,AIVD,894
Famesp Mvd,-1,1,-1,-1,-1,1,-1,1,1,2,-1,11,AUDPREL,694
Famesp Mvd,-1,1,-1,-1,-1,1,-1,1,1,2,-1,11,AUDEVA,205
Famesp Mvd,-1,1,-1,-1,-1,1,-1,1,1,2,-1,11,AICNA,431
Famesp Mvd,-1,1,-1,-1,-1,1,-1,1,1,2,-1,11,VISITAS,31
Famesp Mvd,-1,1,-1,-1,-1,1,-1,1,1,2,-1,11,Otros_tipojuicio,143
Famesp Mvd,-1,1,-1,-1,-1,1,-1,1,1,2,-1,11,RESTEL,1142
Famesp Mvd,-1,1,-1,-1,-1,1,-1,1,1,2,-1,11,TRVD,678
Famesp Mvd,-1,1,-1,-1,-1,1,-1,1,1,2,-1,11,AUDUNI,344
Famesp Mvd,-1,1,-1,-1,-1,1,-1,1,1,5,-1,11,AIVD,1098
Famesp Mvd,-1,1,-1,-1,-1,1,-1,1,1,5,-1,11,AUDPREL,832
Famesp Mvd,-1,1,-1,-1,-1,1,-1,1,1,5,-1,11,AUDEVA,344
Famesp Mvd,-1,1,-1,-1,-1,1,-1,1,1,5,-1,11,AICNA,604
Famesp Mvd,-1,1,-1,-1,-1,1,-1,1,1,5,-1,11,VISITAS,46
Famesp Mvd,-1,1,-1,-1,-1,1,-1,1,1,5,-1,11,Otros_tipojuicio,218
Famesp Mvd,-1,1,-1,-1,-1,1,-1,1,1,5,-1,11,RESTEL,3702
Famesp Mvd,-1,1,-1,-1,-1,1,-1,1,1,5,-1,11,TRVD,1197
Famesp Mvd,-1,1,-1,-1,-1,1,-1,1,1,5,-1,11,AUDUNI,68
Famesp Mvd,-1,1,-1,-1,-1,1,-1,2,1,3,-1,11,AIVD,1101
Famesp Mvd,-1,1,-1,-1,-1,1,-1,2,1,3,-1,11,AUDPREL,1365
Famesp Mvd,-1,1,-1,-1,-1,1,-1,2,1,3,-1,11,AUDEVA,422
Famesp Mvd,-1,1,-1,-1,-1,1,-1,2,1,3,-1,11,AICNA,505
Famesp Mvd,-1,1,-1,-1,-1,1,-1,2,1,3,-1,11,VISITAS,61
Famesp Mvd,-1,1,-1,-1,-1,1,-1,2,1,3,-1,11,Otros_tipojuicio,157
Famesp Mvd,-1,1,-1,-1,-1,1,-1,2,1,3,-1,11,RESTEL,2089
Famesp Mvd,-1,1,-1,-1,-1,1,-1,2,1,3,-1,11,TRVD,1220
Famesp Mvd,-1,1,-1,-1,-1,1,-1,2,1,3,-1,11,AUDUNI,497
Famesp Mvd,-1,1,-1,-1,-1,1,-1,2,1,4,-1,11,AIVD,756
